etiqueta,x1,y1,x2,y2,imagen,w,h
borde_izquierdo,148,472,422,348,re_2021_05_30_150938_001.png,960,540
borde_derecho,803,370,604,347,re_2021_05_30_150938_001.png,960,540
linea_carril,278,476,457,339,re_2021_05_30_150938_001.png,960,540
linea_carril,731,471,506,342,re_2021_05_30_150938_001.png,960,540
linea_carril,795,394,556,345,re_2021_05_30_150938_001.png,960,540
linea_emergencia,519,473,482,342,re_2021_05_30_150938_001.png,960,540
borde_izquierdo,149,471,411,354,re_2021_05_30_150938_002.png,960,540
borde_derecho,812,372,594,346,re_2021_05_30_150938_002.png,960,540
linea_carril,281,477,448,348,re_2021_05_30_150938_002.png,960,540
linea_emergencia,512,471,482,336,re_2021_05_30_150938_002.png,960,540
linea_carril,731,471,498,339,re_2021_05_30_150938_002.png,960,540
linea_carril,561,346,803,395,re_2021_05_30_150938_002.png,960,540
borde_izquierdo,148,471,415,347,re_2021_05_30_150938_003.png,960,540
borde_derecho,955,358,679,346,re_2021_05_30_150938_003.png,960,540
linea_emergencia,513,471,482,342,re_2021_05_30_150938_003.png,960,540
linea_carril,272,477,454,337,re_2021_05_30_150938_003.png,960,540
linea_carril,724,470,509,342,re_2021_05_30_150938_003.png,960,540
linea_carril,953,420,559,343,re_2021_05_30_150938_003.png,960,540
borde_izquierdo,134,464,415,346,re_2021_05_30_150938_004.png,960,540
borde_derecho,958,359,739,352,re_2021_05_30_150938_004.png,960,540
linea_emergencia,501,475,481,344,re_2021_05_30_150938_004.png,960,540
linea_carril,254,478,436,349,re_2021_05_30_150938_004.png,960,540
linea_carril,713,471,507,343,re_2021_05_30_150938_004.png,960,540
linea_carril,953,420,600,353,re_2021_05_30_150938_004.png,960,540
linea_carril,957,376,775,364,re_2021_05_30_150938_004.png,960,540
borde_izquierdo,115,454,403,346,re_2021_05_30_150938_005.png,960,540
borde_derecho,958,358,666,337,re_2021_05_30_150938_005.png,960,540
linea_carril,180,481,436,344,re_2021_05_30_150938_005.png,960,540
linea_carril,958,376,658,346,re_2021_05_30_150938_005.png,960,540
linea_carril,586,344,934,427,re_2021_05_30_150938_005.png,960,540
