etiqueta,x1,y1,x2,y2,imagen,w ,h
borde_izquierdo,6,413,411,357,2019_12_01_142924_048_resized.png,960,540
borde_derecho,919,395,601,356,2019_12_01_142924_048_resized.png,960,540
linea_carril,279,497,457,368,2019_12_01_142924_048_resized.png,960,540
linea_carril,724,487,535,368,2019_12_01_142924_048_resized.png,960,540
linea_carril,912,416,609,365,2019_12_01_142924_048_resized.png,960,540
linea_emergencia,85,479,429,362,2019_12_01_142924_048_resized.png,960,540
borde_izquierdo,4,415,378,362,2019_12_01_142924_049_resized.png,960,540
borde_derecho,923,389,645,358,2019_12_01_142924_049_resized.png,960,540
linea_carril,304,489,462,365,2019_12_01_142924_049_resized.png,960,540
linea_carril,737,480,551,375,2019_12_01_142924_049_resized.png,960,540
linea_carril,918,413,621,367,2019_12_01_142924_049_resized.png,960,540
linea_emergencia,90,484,404,372,2019_12_01_142924_049_resized.png,960,540
borde_izquierdo,2,411,346,369,2019_12_01_142924_050_resized.png,960,540
borde_derecho,925,384,623,357,2019_12_01_142924_050_resized.png,960,540
linea_carril,328,493,464,363,2019_12_01_142924_050_resized.png,960,540
linea_carril,755,480,528,361,2019_12_01_142924_050_resized.png,960,540
linea_carril,916,413,625,366,2019_12_01_142924_050_resized.png,960,540
linea_emergencia,85,480,408,369,2019_12_01_142924_050_resized.png,960,540
borde_izquierdo,5,415,349,368,2019_12_01_142924_051_resized.png,960,540
borde_derecho,932,385,646,358,2019_12_01_142924_051_resized.png,960,540
linea_carril,334,491,467,362,2019_12_01_142924_051_resized.png,960,540
linea_carril,736,480,530,360,2019_12_01_142924_051_resized.png,960,540
linea_carril,907,411,630,369,2019_12_01_142924_051_resized.png,960,540
linea_emergencia,94,487,407,372,2019_12_01_142924_051_resized.png,960,540
borde_izquierdo,4,416,338,370,2019_12_01_142924_052_resized.png,960,540
borde_derecho,954,388,676,364,2019_12_01_142924_052_resized.png,960,540
linea_carril,330,490,458,367,2019_12_01_142924_052_resized.png,960,540
linea_carril,747,476,529,365,2019_12_01_142924_052_resized.png,960,540
linea_carril,940,414,652,376,2019_12_01_142924_052_resized.png,960,540
linea_emergencia,74,479,392,378,2019_12_01_142924_052_resized.png,960,540
borde_izquierdo,6,416,323,372,2019_12_01_142924_053_resized.png,960,540
