etiqueta,x1,y1,x2,y2,imagen,w,h
borde_izquierdo,124,501,436,364,2019_12_08_214531_019_resized.png,960,540
borde_derecho,922,369,662,348,2019_12_08_214531_019_resized.png,960,540
linea_carril,293,497,450,361,2019_12_08_214531_019_resized.png,960,540
linea_carril,746,486,518,356,2019_12_08_214531_019_resized.png,960,540
linea_carril,904,409,567,355,2019_12_08_214531_019_resized.png,960,540
linea_carril,912,393,633,355,2019_12_08_214531_019_resized.png,960,540
borde_izquierdo,110,494,447,356,2019_12_08_214531_020_resized.png,960,540
borde_derecho,915,364,674,344,2019_12_08_214531_020_resized.png,960,540
linea_carril,272,498,431,372,2019_12_08_214531_020_resized.png,960,540
linea_carril,728,490,514,358,2019_12_08_214531_020_resized.png,960,540
linea_carril,908,414,577,359,2019_12_08_214531_020_resized.png,960,540
linea_carril,911,395,614,352,2019_12_08_214531_020_resized.png,960,540
borde_izquierdo,90,483,402,369,2019_12_08_214531_021_resized.png,960,540
borde_derecho,916,357,687,343,2019_12_08_214531_021_resized.png,960,540
linea_carril,173,505,425,365,2019_12_08_214531_021_resized.png,960,540
linea_carril,678,495,507,365,2019_12_08_214531_021_resized.png,960,540
linea_carril,906,420,576,358,2019_12_08_214531_021_resized.png,960,540
linea_carril,911,386,626,356,2019_12_08_214531_021_resized.png,960,540
borde_izquierdo,59,463,445,369,2019_12_08_214531_022_resized.png,960,540
borde_derecho,915,357,702,346,2019_12_08_214531_022_resized.png,960,540
linea_carril,176,489,457,370,2019_12_08_214531_022_resized.png,960,540
linea_carril,666,501,543,369,2019_12_08_214531_022_resized.png,960,540
linea_carril,905,422,618,358,2019_12_08_214531_022_resized.png,960,540
linea_carril,913,386,676,354,2019_12_08_214531_022_resized.png,960,540
borde_izquierdo,98,483,435,371,2019_12_08_214531_023_resized.png,960,540
borde_derecho,914,356,676,344,2019_12_08_214531_023_resized.png,960,540
linea_carril,178,501,439,379,2019_12_08_214531_023_resized.png,960,540
linea_carril,664,491,559,372,2019_12_08_214531_023_resized.png,960,540
linea_carril,902,430,629,359,2019_12_08_214531_023_resized.png,960,540
linea_carril,908,395,662,352,2019_12_08_214531_023_resized.png,960,540
borde_izquierdo,99,487,433,370,2019_12_08_214531_024_resized.png,960,540
borde_derecho,921,358,693,348,2019_12_08_214531_024_resized.png,960,540
linea_carril,187,499,451,370,2019_12_08_214531_024_resized.png,960,540
linea_carril,664,492,554,373,2019_12_08_214531_024_resized.png,960,540
linea_carril,894,451,622,365,2019_12_08_214531_024_resized.png,960,540
linea_carril,904,405,670,358,2019_12_08_214531_024_resized.png,960,540
borde_izquierdo,110,493,410,370,2019_12_08_214531_025_resized.png,960,540
borde_derecho,892,348,705,338,2019_12_08_214531_025_resized.png,960,540
linea_carril,191,501,427,373,2019_12_08_214531_025_resized.png,960,540
linea_carril,663,496,542,375,2019_12_08_214531_025_resized.png,960,540
linea_carril,897,449,643,365,2019_12_08_214531_025_resized.png,960,540
linea_carril,906,398,694,351,2019_12_08_214531_025_resized.png,960,540
borde_izquierdo,83,485,409,365,2019_12_08_214531_026_resized.png,960,540
borde_derecho,915,353,690,340,2019_12_08_214531_026_resized.png,960,540
linea_carril,156,499,423,369,2019_12_08_214531_026_resized.png,960,540
linea_carril,605,483,517,371,2019_12_08_214531_026_resized.png,960,540
linea_carril,841,470,565,362,2019_12_08_214531_026_resized.png,960,540
linea_carril,899,401,651,348,2019_12_08_214531_026_resized.png,960,540
borde_izquierdo,63,468,399,365,2019_12_08_214531_027_resized.png,960,540
borde_derecho,916,352,694,337,2019_12_08_214531_027_resized.png,960,540
linea_carril,113,493,414,365,2019_12_08_214531_027_resized.png,960,540
linea_carril,579,483,501,370,2019_12_08_214531_027_resized.png,960,540
linea_carril,867,477,578,362,2019_12_08_214531_027_resized.png,960,540
linea_carril,912,394,663,348,2019_12_08_214531_027_resized.png,960,540
borde_izquierdo,29,442,391,357,2019_12_08_214531_028_resized.png,960,540
borde_derecho,919,352,716,335,2019_12_08_214531_028_resized.png,960,540
linea_carril,57,461,380,368,2019_12_08_214531_028_resized.png,960,540
linea_carril,517,504,479,365,2019_12_08_214531_028_resized.png,960,540
linea_carril,844,468,566,352,2019_12_08_214531_028_resized.png,960,540
linea_carril,907,394,669,348,2019_12_08_214531_028_resized.png,960,540
borde_izquierdo,22,434,365,365,2019_12_08_214531_029_resized.png,960,540
borde_derecho,928,345,746,336,2019_12_08_214531_029_resized.png,960,540
linea_carril,43,449,372,369,2019_12_08_214531_029_resized.png,960,540
linea_carril,424,495,469,358,2019_12_08_214531_029_resized.png,960,540
linea_carril,722,480,531,356,2019_12_08_214531_029_resized.png,960,540
linea_carril,904,433,587,352,2019_12_08_214531_029_resized.png,960,540
borde_izquierdo,8,427,351,367,2019_12_08_214531_030_resized.png,960,540
borde_derecho,909,340,701,336,2019_12_08_214531_030_resized.png,960,540
linea_carril,32,438,349,375,2019_12_08_214531_030_resized.png,960,540
