etiqueta,x1,y1,x2,y2,imagen,w,h
borde_izquierdo,127,479,432,353,re_2021_04_07_212948_001.png,960,540
borde_derecho,941,389,578,350,re_2021_04_07_212948_001.png,960,540
linea_emergencia,435,496,472,342,re_2021_04_07_212948_001.png,960,540
linea_carril,669,485,495,353,re_2021_04_07_212948_001.png,960,540
linea_carril,928,436,585,362,re_2021_04_07_212948_001.png,960,540
linea_carril,183,495,422,367,re_2021_04_07_212948_001.png,960,540
borde_izquierdo,126,475,439,348,re_2021_04_07_212948_002.png,960,540
borde_derecho,945,389,596,353,re_2021_04_07_212948_002.png,960,540
linea_emergencia,438,494,468,350,re_2021_04_07_212948_002.png,960,540
linea_carril,171,496,406,371,re_2021_04_07_212948_002.png,960,540
linea_carril,681,489,499,358,re_2021_04_07_212948_002.png,960,540
linea_carril,929,435,545,353,re_2021_04_07_212948_002.png,960,540
borde_izquierdo,113,466,420,355,re_2021_04_07_212948_003.png,960,540
borde_derecho,955,398,629,356,re_2021_04_07_212948_003.png,960,540
linea_emergencia,394,494,465,346,re_2021_04_07_212948_003.png,960,540
linea_carril,166,489,404,369,re_2021_04_07_212948_003.png,960,540
linea_carril,640,491,498,364,re_2021_04_07_212948_003.png,960,540
linea_carril,892,429,581,363,re_2021_04_07_212948_003.png,960,540
borde_izquierdo,96,454,417,352,re_2021_04_07_212948_004.png,960,540
borde_derecho,956,407,606,356,re_2021_04_07_212948_004.png,960,540
linea_emergencia,372,496,454,350,re_2021_04_07_212948_004.png,960,540
linea_carril,129,478,379,376,re_2021_04_07_212948_004.png,960,540
linea_carril,589,484,487,359,re_2021_04_07_212948_004.png,960,540
linea_carril,852,436,572,364,re_2021_04_07_212948_004.png,960,540
borde_izquierdo,74,444,396,358,re_2021_04_07_212948_005.png,960,540
borde_derecho,947,402,607,360,re_2021_04_07_212948_005.png,960,540
linea_emergencia,318,496,448,353,re_2021_04_07_212948_005.png,960,540
linea_carril,95,464,341,385,re_2021_04_07_212948_005.png,960,540
linea_carril,535,491,480,363,re_2021_04_07_212948_005.png,960,540
linea_carril,844,441,552,366,re_2021_04_07_212948_005.png,960,540
borde_izquierdo,57,429,380,356,re_2021_04_07_212948_006.png,960,540
borde_derecho,949,405,595,356,re_2021_04_07_212948_006.png,960,540
linea_emergencia,225,496,438,352,re_2021_04_07_212948_006.png,960,540
linea_carril,74,447,321,380,re_2021_04_07_212948_006.png,960,540
linea_carril,477,492,468,369,re_2021_04_07_212948_006.png,960,540
linea_carril,847,469,542,360,re_2021_04_07_212948_006.png,960,540
borde_izquierdo,40,420,359,358,re_2021_04_07_212948_007.png,960,540
borde_derecho,947,411,576,354,re_2021_04_07_212948_007.png,960,540
linea_emergencia,173,483,418,356,re_2021_04_07_212948_007.png,960,540
linea_carril,69,441,281,384,re_2021_04_07_212948_007.png,960,540
linea_carril,398,498,456,374,re_2021_04_07_212948_007.png,960,540
linea_carril,773,462,542,364,re_2021_04_07_212948_007.png,960,540
borde_izquierdo,33,411,362,355,re_2021_04_07_212948_008.png,960,540
borde_derecho,948,418,587,360,re_2021_04_07_212948_008.png,960,540
linea_emergencia,130,473,408,363,re_2021_04_07_212948_008.png,960,540
linea_carril,55,433,293,377,re_2021_04_07_212948_008.png,960,540
linea_carril,352,495,447,364,re_2021_04_07_212948_008.png,960,540
linea_carril,744,465,528,363,re_2021_04_07_212948_008.png,960,540
borde_izquierdo,22,409,356,356,re_2021_04_07_212948_009.png,960,540
borde_derecho,956,424,568,353,re_2021_04_07_212948_009.png,960,540
linea_emergencia,109,468,393,364,re_2021_04_07_212948_009.png,960,540
linea_carril,49,423,298,374,re_2021_04_07_212948_009.png,960,540
linea_carril,327,496,437,370,re_2021_04_07_212948_009.png,960,540
linea_carril,731,475,514,356,re_2021_04_07_212948_009.png,960,540
borde_izquierdo,21,407,335,362,re_2021_04_07_212948_010.png,960,540
borde_derecho,630,368,954,418,re_2021_04_07_212948_010.png,960,540
linea_emergencia,93,458,406,356,re_2021_04_07_212948_010.png,960,540
linea_carril,39,429,286,376,re_2021_04_07_212948_010.png,960,540
linea_carril,327,489,442,365,re_2021_04_07_212948_010.png,960,540
linea_carril,721,475,530,365,re_2021_04_07_212948_010.png,960,540
borde_izquierdo,19,405,364,355,re_2021_04_07_212948_011.png,960,540
borde_derecho,583,359,946,410,re_2021_04_07_212948_011.png,960,540
linea_emergencia,107,456,385,365,re_2021_04_07_212948_011.png,960,540
linea_carril,30,424,270,376,re_2021_04_07_212948_011.png,960,540
linea_carril,293,491,435,365,re_2021_04_07_212948_011.png,960,540
linea_carril,736,474,522,364,re_2021_04_07_212948_011.png,960,540
borde_izquierdo,12,402,351,356,re_2021_04_07_212948_012.png,960,540
borde_derecho,577,358,944,409,re_2021_04_07_212948_012.png,960,540
linea_carril,26,420,296,372,re_2021_04_07_212948_012.png,960,540
linea_carril,289,495,438,362,re_2021_04_07_212948_012.png,960,540
linea_carril,705,490,517,362,re_2021_04_07_212948_012.png,960,540
borde_izquierdo,11,401,360,353,re_2021_04_07_212948_013.png,960,540
borde_derecho,946,425,574,358,re_2021_04_07_212948_013.png,960,540
linea_emergencia,60,449,384,363,re_2021_04_07_212948_013.png,960,540
linea_carril,21,421,249,375,re_2021_04_07_212948_013.png,960,540
linea_carril,261,503,422,367,re_2021_04_07_212948_013.png,960,540
linea_carril,726,496,510,360,re_2021_04_07_212948_013.png,960,540
borde_izquierdo,6,397,361,354,re_2021_04_07_212948_014.png,960,540
borde_derecho,601,358,960,427,re_2021_04_07_212948_014.png,960,540
linea_emergencia,64,450,355,371,re_2021_04_07_212948_014.png,960,540
linea_carril,261,488,439,356,re_2021_04_07_212948_014.png,960,540
linea_carril,679,478,517,363,re_2021_04_07_212948_014.png,960,540
linea_carril,28,415,291,371,re_2021_04_07_212948_014.png,960,540
borde_izquierdo,13,403,336,357,re_2021_04_07_212948_015.png,960,540
borde_derecho,612,360,948,413,re_2021_04_07_212948_015.png,960,540
linea_emergencia,77,446,362,371,re_2021_04_07_212948_015.png,960,540
linea_carril,21,422,277,374,re_2021_04_07_212948_015.png,960,540
linea_carril,266,483,439,354,re_2021_04_07_212948_015.png,960,540
linea_carril,675,482,508,359,re_2021_04_07_212948_015.png,960,540
borde_izquierdo,11,402,342,357,re_2021_04_07_212948_016.png,960,540
borde_derecho,665,366,955,406,re_2021_04_07_212948_016.png,960,540
linea_emergencia,65,452,371,367,re_2021_04_07_212948_016.png,960,540
linea_carril,29,415,238,379,re_2021_04_07_212948_016.png,960,540
linea_carril,261,489,425,368,re_2021_04_07_212948_016.png,960,540
linea_carril,665,482,515,363,re_2021_04_07_212948_016.png,960,540
borde_izquierdo,13,397,341,360,re_2021_04_07_212948_017.png,960,540
borde_derecho,659,362,957,399,re_2021_04_07_212948_017.png,960,540
linea_emergencia,115,454,411,356,re_2021_04_07_212948_017.png,960,540
linea_carril,35,416,248,380,re_2021_04_07_212948_017.png,960,540
linea_carril,260,486,420,376,re_2021_04_07_212948_017.png,960,540
linea_carril,685,482,526,371,re_2021_04_07_212948_017.png,960,540
borde_izquierdo,14,406,318,361,re_2021_04_07_212948_018.png,960,540
borde_derecho,665,359,960,397,re_2021_04_07_212948_018.png,960,540
linea_emergencia,90,460,341,378,re_2021_04_07_212948_018.png,960,540
linea_carril,28,420,252,378,re_2021_04_07_212948_018.png,960,540
linea_carril,269,492,426,364,re_2021_04_07_212948_018.png,960,540
linea_carril,706,480,521,359,re_2021_04_07_212948_018.png,960,540
borde_izquierdo,12,402,345,355,re_2021_04_07_212948_019.png,960,540
borde_derecho,618,357,959,399,re_2021_04_07_212948_019.png,960,540
linea_emergencia,87,467,369,374,re_2021_04_07_212948_019.png,960,540
linea_carril,32,424,265,378,re_2021_04_07_212948_019.png,960,540
linea_carril,269,490,429,369,re_2021_04_07_212948_019.png,960,540
linea_carril,727,478,522,364,re_2021_04_07_212948_019.png,960,540
borde_izquierdo,11,405,302,362,re_2021_04_07_212948_020.png,960,540
borde_derecho,651,361,957,406,re_2021_04_07_212948_020.png,960,540
linea_emergencia,116,450,347,374,re_2021_04_07_212948_020.png,960,540
linea_carril,27,424,288,373,re_2021_04_07_212948_020.png,960,540
linea_carril,279,492,409,380,re_2021_04_07_212948_020.png,960,540
linea_carril,719,479,519,362,re_2021_04_07_212948_020.png,960,540
borde_izquierdo,15,401,312,363,re_2021_04_07_212948_021.png,960,540
borde_derecho,667,362,953,399,re_2021_04_07_212948_021.png,960,540
linea_emergencia,74,464,360,374,re_2021_04_07_212948_021.png,960,540
linea_carril,35,421,287,378,re_2021_04_07_212948_021.png,960,540
linea_carril,269,482,420,378,re_2021_04_07_212948_021.png,960,540
linea_carril,730,485,521,364,re_2021_04_07_212948_021.png,960,540
borde_izquierdo,16,404,323,360,re_2021_04_07_212948_022.png,960,540
borde_derecho,649,359,951,397,re_2021_04_07_212948_022.png,960,540
linea_emergencia,73,475,361,374,re_2021_04_07_212948_022.png,960,540
linea_carril,39,421,261,378,re_2021_04_07_212948_022.png,960,540
linea_carril,270,492,415,378,re_2021_04_07_212948_022.png,960,540
linea_carril,731,481,516,363,re_2021_04_07_212948_022.png,960,540
borde_izquierdo,18,404,318,364,re_2021_04_07_212948_023.png,960,540
borde_derecho,632,356,955,402,re_2021_04_07_212948_023.png,960,540
linea_emergencia,81,468,355,378,re_2021_04_07_212948_023.png,960,540
linea_carril,37,423,259,380,re_2021_04_07_212948_023.png,960,540
linea_carril,286,505,435,366,re_2021_04_07_212948_023.png,960,540
linea_carril,734,481,538,369,re_2021_04_07_212948_023.png,960,540
borde_izquierdo,15,408,339,359,re_2021_04_07_212948_024.png,960,540
borde_derecho,661,368,955,402,re_2021_04_07_212948_024.png,960,540
linea_emergencia,92,474,361,374,re_2021_04_07_212948_024.png,960,540
